#{"t_start": 1768249545.6688778, "env_id": "SpaceInvaders-v0"}
r,l,t
60.0,706,27.526931
80.0,501,27.935992
85.0,634,28.480628
50.0,637,29.000178
60.0,475,29.370317
80.0,441,29.724904
125.0,730,30.319975
120.0,656,30.866516
105.0,584,31.358073
155.0,671,31.911685
120.0,942,32.682146
215.0,936,33.462266
45.0,375,33.766802
370.0,824,34.456387
60.0,357,34.730689
145.0,865,35.445757
40.0,479,36.691238
455.0,1034,38.599246
60.0,381,39.246948
210.0,1100,41.300901
195.0,938,43.032927
170.0,850,44.571706
110.0,636,45.724571
125.0,756,47.054691
50.0,399,47.773898
305.0,780,49.220231
115.0,622,50.360253
60.0,491,51.263608
50.0,393,51.931614
460.0,1002,53.808392
135.0,780,55.20747
120.0,517,56.116644
185.0,1014,58.013381
130.0,619,59.169408
540.0,1189,61.375504
245.0,1030,63.309459
120.0,617,64.434585
215.0,898,66.051019
320.0,1048,67.93651
50.0,514,68.833977
80.0,625,69.946836
215.0,1055,71.886091
155.0,699,73.145909
315.0,1078,75.164292
100.0,373,75.79052
85.0,664,76.958766
80.0,498,77.826378
470.0,1091,79.853698
110.0,615,80.917494
170.0,934,82.69344
165.0,682,83.965944
295.0,955,85.768238
110.0,612,86.893422
90.0,579,87.982259
220.0,976,89.821813
110.0,756,91.207015
70.0,386,91.895979
110.0,841,93.372215
100.0,559,94.318351
170.0,985,96.131466
55.0,562,97.091095
125.0,849,98.583815
115.0,629,99.709148
175.0,860,101.285853
140.0,666,102.471588
110.0,643,103.597538
370.0,787,105.028261
250.0,913,106.717007
130.0,654,107.846614
480.0,1124,109.970686
215.0,862,111.59896
280.0,1066,113.63019
50.0,350,114.264282
20.0,440,115.048261
415.0,812,116.581645
30.0,387,117.258814
75.0,525,118.216352
285.0,938,120.000337
110.0,631,121.118159
285.0,886,122.78648
40.0,489,123.690694
90.0,832,125.260852
90.0,509,126.175182
190.0,682,127.459049
165.0,974,129.317713
115.0,677,130.594892
125.0,635,131.806602
85.0,633,133.014091
105.0,852,134.616942
235.0,806,136.130102
65.0,654,137.382412
460.0,855,139.051762
75.0,462,139.932522
65.0,622,141.06277
190.0,876,142.790302
75.0,651,144.046655
160.0,806,145.570645
315.0,834,147.128742
195.0,864,148.766562
75.0,358,149.459319
105.0,677,150.796041
160.0,687,152.114787
50.0,611,153.289058
190.0,718,154.730219
50.0,655,155.991577
160.0,1110,158.052972
605.0,1265,160.597982
210.0,1214,162.989053
70.0,634,164.142832
15.0,444,164.915952
710.0,1299,167.443654
40.0,349,168.063365
250.0,1023,170.045718
180.0,723,171.496747
380.0,1194,174.015307
240.0,885,191.75449
160.0,742,193.16913
50.0,527,194.108767
265.0,853,195.748317
60.0,636,196.972265
140.0,771,198.490688
345.0,681,199.76139
140.0,855,201.421012
380.0,1003,203.362317
225.0,914,205.120821
115.0,892,206.834957
55.0,659,208.08467
140.0,794,209.641573
60.0,531,210.611618
45.0,399,211.291622
10.0,456,212.147836
110.0,672,213.405722
150.0,654,214.676476
65.0,727,216.038458
180.0,961,217.878202
80.0,601,218.996843
55.0,519,219.951986
45.0,448,220.744619
185.0,767,222.185835
90.0,646,223.434769
310.0,1032,225.4296
170.0,822,227.076135
130.0,718,228.46261
55.0,364,229.132472
45.0,685,230.453196
225.0,1006,232.44707
20.0,344,233.118978
105.0,915,234.902785
175.0,1106,237.033731
430.0,987,238.967224
70.0,399,239.726746
110.0,650,240.966081
20.0,353,241.568171
75.0,378,242.257593
115.0,748,243.706374
85.0,509,244.643403
10.0,561,245.6875
210.0,789,247.256752
55.0,394,247.993884
55.0,781,249.529167
265.0,1128,251.74546
75.0,459,252.62624
170.0,832,254.256609
40.0,380,254.955212
115.0,668,256.242849
45.0,498,257.198747
45.0,370,257.882522
265.0,1049,259.94276
185.0,763,261.428851
75.0,390,262.149788
25.0,531,263.228005
35.0,329,263.846134
215.0,959,265.748977
30.0,342,266.36043
180.0,662,267.674473
50.0,524,268.648116
500.0,914,270.472071
160.0,758,272.013855
15.0,343,272.667338
215.0,717,274.05849
35.0,482,274.918614
215.0,1026,276.917415
125.0,598,278.102685
325.0,979,280.059386
170.0,662,281.334749
35.0,637,282.581715
200.0,926,284.365618
125.0,703,285.643379
355.0,881,287.389261
150.0,667,288.654761
110.0,605,289.77155
180.0,758,291.228297
45.0,457,292.108917
10.0,330,292.724682
60.0,501,293.675503
70.0,804,295.24574
90.0,546,296.319388
90.0,636,297.515094
170.0,933,299.328824
165.0,669,300.638362
120.0,681,301.928977
110.0,497,302.853636
180.0,701,304.219087
150.0,844,305.891367
80.0,688,307.261952
100.0,797,308.786002
70.0,538,309.806007
180.0,694,311.17949
60.0,506,312.181254
435.0,1346,314.938596
100.0,687,316.268408
220.0,892,318.082917
410.0,1003,320.062995
35.0,375,320.774612
225.0,1005,322.759309
35.0,472,323.634222
160.0,557,324.682873
20.0,401,325.459987
30.0,358,326.117588
45.0,445,326.95957
80.0,346,327.579232
75.0,388,328.324825
170.0,621,329.529657
410.0,990,331.493186
45.0,373,332.153311
120.0,718,333.475857
290.0,1157,335.713121
75.0,656,336.959652
110.0,617,338.176415
45.0,650,339.465912
310.0,910,341.275419
240.0,1024,343.298947
55.0,358,344.00111
125.0,802,345.777923
385.0,940,348.021336
45.0,427,348.922845
260.0,808,350.709769
95.0,508,351.821229
95.0,541,353.109421
15.0,456,354.127157
80.0,398,354.967973
365.0,961,357.10615
185.0,656,375.318912
30.0,418,376.249062
85.0,739,377.857879
175.0,674,379.349248
255.0,865,381.324053
430.0,1083,383.906876
65.0,573,385.141577
90.0,689,386.637998
40.0,673,388.108329
15.0,511,389.194818
75.0,355,389.945451
100.0,627,391.34269
80.0,408,392.180828
425.0,1609,395.840852
60.0,422,396.738568
230.0,861,398.594553
335.0,778,400.260833
335.0,1135,402.798601
50.0,344,403.490755
170.0,935,405.560905
175.0,921,407.600498
25.0,488,408.670623
135.0,696,410.186459
200.0,654,411.62959
415.0,1156,414.380001
175.0,668,415.838054
110.0,513,416.992737
200.0,658,418.450192
135.0,668,419.894915
290.0,1059,422.294861
120.0,687,423.807102
50.0,396,424.620298
360.0,1077,427.076395
145.0,756,428.732457
50.0,426,429.64189
240.0,1184,432.310411
120.0,714,433.888936
345.0,777,435.576805
255.0,790,437.273855
160.0,506,438.365922
30.0,395,439.215233
20.0,516,440.333282
360.0,1038,442.815117
195.0,711,444.418841
175.0,984,446.633065
80.0,627,448.010851
375.0,995,450.2716
310.0,899,452.315433
305.0,1009,454.577471
60.0,417,455.478417
65.0,644,456.882556
130.0,524,458.055391
55.0,415,458.943701
155.0,565,460.182318
105.0,681,461.732871
50.0,381,462.500303
35.0,351,463.147544
30.0,341,463.750486
300.0,677,465.096329
380.0,1215,467.464456
25.0,584,468.564643
140.0,725,470.000036
160.0,652,471.273151
285.0,617,472.45202
235.0,870,474.185313
55.0,322,474.774858
20.0,415,475.534809
115.0,540,476.559642
85.0,620,477.767687
115.0,638,479.003734
225.0,843,480.683504
165.0,972,482.670663
65.0,650,484.018053
80.0,572,485.145299
215.0,1002,487.195467
0.0,317,487.826139
150.0,1087,490.098936
190.0,939,492.059522
95.0,654,493.37871
335.0,707,494.810661
60.0,536,495.862012
120.0,624,497.09616
335.0,1067,499.285105
40.0,340,499.924602
130.0,819,501.883568
120.0,631,503.388338
100.0,643,504.895307
100.0,662,506.382504
30.0,649,507.817842
245.0,1009,510.107486
60.0,393,510.984588
155.0,649,512.432276
345.0,957,514.609325
245.0,718,516.261802
245.0,1001,518.57903
240.0,1242,521.352381
165.0,695,522.753505
80.0,452,523.560254
235.0,1041,525.644891
50.0,533,526.712295
345.0,1117,528.99346
190.0,901,530.819726
50.0,338,531.447284
145.0,691,532.814123
340.0,661,534.166947
405.0,1008,536.272508
120.0,670,537.650639
165.0,633,538.940542
265.0,1072,541.13771
100.0,614,542.331941
180.0,751,543.835624
595.0,1120,546.120935
120.0,665,547.444086
225.0,734,548.89468
65.0,607,550.053866
125.0,669,551.357322
390.0,962,553.346212
155.0,641,554.572597
35.0,355,555.213189
130.0,907,557.087579
145.0,1004,570.90747
150.0,760,572.485332
50.0,482,573.548963
185.0,703,575.017671
70.0,500,576.019134
115.0,634,577.278743
205.0,872,579.08964
155.0,787,580.70471
75.0,392,581.430044
85.0,491,582.362164
465.0,824,584.001208
105.0,697,585.366431
85.0,621,586.592401
50.0,428,587.428588
210.0,788,589.054997
80.0,365,589.735592
140.0,639,591.00135
35.0,382,591.707508
120.0,801,593.387252
70.0,395,594.191384
30.0,372,594.857986
130.0,935,596.794729
180.0,647,598.074055
85.0,637,599.321627
190.0,664,600.667732
220.0,1503,603.715631
5.0,360,604.378409
85.0,591,605.507565
185.0,878,607.308039
35.0,308,607.894681
350.0,889,609.683996
315.0,1094,611.921791
180.0,648,613.20389
110.0,616,614.406187
170.0,650,615.693656
250.0,807,617.330337
250.0,812,618.975323
145.0,580,620.170031
25.0,333,620.796042
70.0,582,621.980715
45.0,352,622.670674
310.0,1142,624.967021
85.0,543,626.025717
110.0,441,626.913881
90.0,614,628.116462
245.0,901,629.903202
70.0,646,631.210548
65.0,493,632.17551
90.0,625,633.411498
160.0,646,634.760523
145.0,805,636.40453
135.0,721,637.870778
125.0,855,639.558086
60.0,541,640.633751
120.0,563,641.711118
110.0,928,643.58957
80.0,757,645.1163
255.0,1065,647.380004
95.0,514,648.417025
245.0,1027,650.540904
195.0,677,651.899845
60.0,483,652.865096
65.0,510,653.865247
110.0,619,655.111003
